"602080882783039488","RT @brabster: I hear rumours that #aws is releasing an #elasticsearch solution very soon - interesting. Anyone know any more about it? #help","Sat May 23 17:27:23 IST 2015","search-tech-bot","<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>"
"602090853415448576","We compared #elasticsearch vs #splunk - see results: http://t.co/M7fmWALSvG","Sat May 23 18:07:00 IST 2015","TechWars","<a href=""http://www.techwars.io"" rel=""nofollow"">TechWars</a>"
"602092493367283712","RT @TechWars_io: We compared #elasticsearch vs #splunk - see results: http://t.co/M7fmWALSvG","Sat May 23 18:13:31 IST 2015","search-tech-bot","<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>"
"602104083319803904","RT @ClojureWerkz: Elastisch 2.2.0-beta4 is released http://t.co/sTl7lmabiy #clojure #elasticsearch","Sat May 23 18:59:34 IST 2015","Gianluca Scacco","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"602117644972642304","RT @Enonic_CMS: #wordpress killer for demanding sites. #Javascript on the server and #elasticsearch built in. https://t.co/o5UqWx1X99","Sat May 23 19:53:28 IST 2015","Erik Kaareng-Sunde","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"602117805337632768","RT @Enonic_CMS: #wordpress killer for demanding sites. #Javascript on the server and #elasticsearch built in. https://t.co/o5UqWx1X99","Sat May 23 19:54:06 IST 2015","WordPress Digest","<a href=""http://www.blaccspot.com"" rel=""nofollow"">WordPress Digest App</a>"
"602119285998297088","Installation of #PredictionIO with embedded #elasticsearch and #hbase is awesomely easy, great job @PredictionIO !","Sat May 23 19:59:59 IST 2015","Don Walter Jr","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
"602155470158241792","RT @c0wl: I <3 ElastAlert - @YelpEngineering's easy & flexible open source alerting with #ElasticSearch https://t.co/WtOM6Bbp1b","Sat May 23 22:23:46 IST 2015","Christoffer Vig","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
"602160755555700739","RT @DrTaha_FDA: We were among the first to use and contribute to @elastic… now, more than 1,500 government websites use #Elasticsearch #Big…","Sat May 23 22:44:46 IST 2015","Kevin Ortman","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
"602165190197579777","RT @DrTaha_FDA: We were among the first to use and contribute to @elastic… now, more than 1,500 government websites use #Elasticsearch #Big…","Sat May 23 23:02:23 IST 2015","sfingerhut","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"602176331015659521","A client for the #elasticsearch REST API in #rust https://t.co/bseGYBLoOm (indexing and search mostly complete, other API's less so!)","Sat May 23 23:46:39 IST 2015","Ben Ashford","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
"602176798416318464","RT @benashford: A client for the #elasticsearch REST API in #rust https://t.co/bseGYBLoOm (indexing and search mostly complete, other API's…","Sat May 23 23:48:31 IST 2015","search-tech-bot","<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>"
"602181168449060864","We compared #elasticsearch vs #splunk - see results: http://t.co/M7fmWALSvG","Sun May 24 00:05:53 IST 2015","TechWars","<a href=""http://www.techwars.io"" rel=""nofollow"">TechWars</a>"
"602181735166521346","Thanks for voting #polyglotconf. Had a great time talking about distributed systems and #Elasticsearch at my first unconference","Sun May 24 00:08:08 IST 2015","Suyog Rao","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
"602182618315104257","RT @TechWars_io: We compared #elasticsearch vs #splunk - see results: http://t.co/M7fmWALSvG","Sun May 24 00:11:38 IST 2015","search-tech-bot","<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>"
